method,image_id,cosine,forward_two_way,top1,top5
C,32427,0.7533252887240744,0.9378757515030061,0.0,0.0
C,32470,0.7823647156047822,0.9739478957915831,0.0,0.0
C,32532,0.698178900886002,0.8156312625250501,0.0,0.0
C,32630,0.7171999305481973,0.8797595190380761,0.0,0.0
C,32680,0.8179444424636746,0.9979959919839679,0.0,1.0
C,32697,0.8370545544752377,0.9979959919839679,0.0,1.0
C,33057,0.8155835778790221,0.9979959919839679,0.0,1.0
C,33084,0.814069123086689,1.0,1.0,1.0
C,33123,0.8033899859355194,0.9939879759519038,0.0,1.0
C,33256,0.7975657091197856,0.9939879759519038,0.0,1.0
C,33264,0.8426893426249531,0.9939879759519038,0.0,1.0
C,33336,0.7189067688116378,0.905811623246493,0.0,0.0
C,33342,0.8084091040343842,1.0,1.0,1.0
C,33512,0.8032755796466475,0.9879759519038076,0.0,0.0
C,33863,0.7591042528016956,0.9879759519038076,0.0,0.0
C,33990,0.8461209218276613,1.0,1.0,1.0
C,34169,0.750525587557337,0.9919839679358717,0.0,1.0
C,34198,0.7264602119995001,0.935871743486974,0.0,0.0
C,34415,0.7887928043675394,0.9959919839679359,0.0,1.0
C,34509,0.7815072813884874,1.0,1.0,1.0
C,34565,0.7470157714655493,0.9298597194388778,0.0,0.0
C,34854,0.8345380954314008,0.9839679358717435,0.0,0.0
C,34998,0.8024762720703229,0.9899799599198397,0.0,0.0
C,35100,0.7039385685154653,0.905811623246493,0.0,0.0
C,35119,0.732462244980528,0.935871743486974,0.0,0.0
C,35131,0.7356547278733088,0.9278557114228457,0.0,0.0
C,35234,0.6231840346888619,0.46893787575150303,0.0,0.0
C,35269,0.727853397879165,0.7855711422845691,0.0,0.0
C,35281,0.6800513933271217,0.6232464929859719,0.0,0.0
C,35475,0.6275958083729944,0.7675350701402806,0.0,0.0
C,35600,0.7565599028490143,0.9498997995991983,0.0,0.0
C,35613,0.7024032258058405,0.8837675350701403,0.0,0.0
C,35659,0.8370979112429282,0.9799599198396793,0.0,0.0
C,35916,0.7439237823402236,0.8416833667334669,0.0,0.0
C,35964,0.7158898821751682,0.8857715430861723,0.0,0.0
C,36198,0.7491074393424825,0.9959919839679359,0.0,1.0
C,36287,0.6344162334551176,0.35671342685370744,0.0,0.0
C,36543,0.79122451766073,0.9579158316633266,0.0,0.0
C,36557,0.8700390671375806,1.0,1.0,1.0
C,36992,0.8463937469859562,1.0,1.0,1.0
C,37034,0.5069280811115873,0.01603206412825651,0.0,0.0
C,37053,0.843602345536312,1.0,1.0,1.0
C,37255,0.7417752780043696,0.9719438877755511,0.0,0.0
C,37362,0.748243933015175,0.9398797595190381,0.0,0.0
C,37406,0.7250581129344555,0.9018036072144289,0.0,0.0
C,37505,0.8292943811745641,0.9959919839679359,0.0,1.0
C,37552,0.7994512660257497,0.9498997995991983,0.0,0.0
C,37899,0.8536860516439635,0.9819639278557114,0.0,0.0
C,38091,0.7389773538019802,0.9579158316633266,0.0,0.0
C,38194,0.7863242807918229,0.9539078156312625,0.0,0.0
C,38375,0.6827117615916534,0.7254509018036072,0.0,0.0
C,38380,0.7758135223505818,0.9939879759519038,0.0,1.0
C,38833,0.7353995340316527,0.8416833667334669,0.0,0.0
C,38887,0.8296063488682608,0.9959919839679359,0.0,1.0
C,39183,0.7010524989326574,0.7935871743486974,0.0,0.0
C,39288,0.8404278603585873,0.9899799599198397,0.0,0.0
C,39384,0.7162843058789031,0.8216432865731463,0.0,0.0
C,39490,0.8355988940043664,0.9979959919839679,0.0,1.0
C,39557,0.7955115952581494,0.9879759519038076,0.0,0.0
C,39756,0.7310908597877135,0.9118236472945892,0.0,0.0
