method,image_id,CLIP_cosine,CLIP_forward_two_way,CLIP_top1,CLIP_top5,AlexNet5_forward_two_way,Inception_forward_two_way,PixCorr,SSIM
Uniform,16800,0.6194835391813693,0.9561623246492986,0.0,0.125,0.7444889779559118,0.9463927855711423,-0.028102709174441028,0.3610702242906315
Uniform,17017,0.5719458694166246,0.9471442885771543,0.0,0.125,0.9972444889779559,0.9962424849699398,0.0492997586784341,0.20442701470184038
Uniform,17605,0.5858942948237358,0.9213426853707415,0.125,0.125,0.8203907815631262,0.9574148296593187,0.17993402070284736,0.3029376878728477
Uniform,17651,0.5743028248910689,0.8126252505010021,0.0,0.0,0.9030561122244489,0.9741983967935872,0.0957687915030806,0.277402467548038
Uniform,17795,0.544908223338268,0.6958917835671342,0.0,0.0,0.9473947895791583,0.9210921843687374,0.36278557051472865,0.4545958340895182
Uniform,17843,0.6115171840066598,0.9378757515030061,0.0,0.25,0.9393787575150301,0.9679358717434869,0.08222373126083019,0.49864138635523314
Uniform,17865,0.6990792392464014,0.9736973947895792,0.25,0.375,0.998246492985972,0.7850701402805611,0.7511114875633467,0.6480859548285836
Uniform,17946,0.5932688439296248,0.9316132264529058,0.0,0.0,0.7039078156312626,0.5733967935871744,0.062410002125107555,0.16565221101247002
Uniform,17987,0.5968263727081262,0.937625250501002,0.0,0.0,0.9248496993987976,0.9531563126252505,-0.042690898663195295,0.20525393362210795
Uniform,18115,0.5086475315448564,0.8399298597194389,0.0,0.0,0.9556613226452906,0.9711923847695391,0.061215481327914475,0.3985646542012094
Uniform,18159,0.62652939028721,0.9336172344689379,0.0,0.0,0.9854709418837675,0.8815130260521042,0.04076148992027451,0.22142087132235933
Uniform,18170,0.6030149710460222,0.9917334669338678,0.0,0.875,0.9789579158316634,0.9774549098196392,-0.09349577286503465,0.23812208702055931
Uniform,18556,0.6198820408634436,0.7597695390781563,0.0,0.0,0.7988476953907816,0.719438877755511,-0.027750654179241933,0.27130738541352395
Uniform,18888,0.6396751679320288,0.9959919839679359,0.625,0.875,0.9944889779559118,0.8697394789579158,0.024230349183539356,0.2976143432141336
Uniform,18960,0.6290801014484853,0.9343687374749499,0.125,0.375,0.9158316633266532,0.9506513026052104,0.02153954025878021,0.25826068848832734
Uniform,19331,0.6654629117736757,0.9085671342685371,0.0,0.0,0.9033066132264529,0.7241983967935871,0.10832826316471839,0.28498038478590637
Uniform,19471,0.5502379711546572,0.5776553106212425,0.0,0.0,0.5761523046092184,0.1638276553106212,0.07717742286425452,0.1729167791305401
Uniform,19593,0.44004936222060254,0.27580160320641284,0.0,0.0,0.8982965931863728,0.9749498997995991,0.09756206109794102,0.1132687041446913
Uniform,19605,0.43142737420542254,0.3967935871743487,0.0,0.0,0.9734468937875751,0.5438376753507014,-0.006526739294728804,0.12910940451089392
Uniform,20013,0.5898274223862805,0.9606713426853708,0.0,0.375,0.8770040080160321,0.9922344689378757,0.2239116076258449,0.1977949588140953
Uniform,20072,0.609921240130386,0.9463927855711423,0.0,0.0,0.9639278557114228,0.9892284569138277,-0.18463868846757028,0.3221687644234199
Uniform,20317,0.6248164273771983,0.9306112224448898,0.0,0.0,0.904559118236473,0.5070140280561122,0.1363895141700131,0.17716840671798506
Uniform,20380,0.4070111769379102,0.48421843687374755,0.0,0.0,0.9085671342685371,0.5969438877755511,0.0642791601350637,0.18965508961534874
