label,split,image_id,donor_id,condition,candidate,path,sha256,noise_sha256,guidance,clip,pixcorr,ssim,model_sha256
B0,train,6970,35190,correct,1,correct/6970-1.png,b3db3a993ab70e371f1ee808bfd0727f28d040d37779128ccbf910cf008eaea8,7b6545b71671e9b1cdbb3e8f1f39d98a09c15c1547791b5eb984bee429ac7e4c,4,0.705832302570343,-0.008567839751191396,0.5845994673068443,
B0,train,6970,35190,wrong,0,wrong/6970-0.png,c5df98cba74c9f9f54ac9eedce6bfc6b556836cdc9a2e9d6ce53c91ef0ad7aca,7b6545b71671e9b1cdbb3e8f1f39d98a09c15c1547791b5eb984bee429ac7e4c,4,0.49591439962387085,-0.12133315835133492,0.5384656788503357,
B0,train,6970,35190,wrong,1,wrong/6970-1.png,ef39c0c5acfc7ca7645bafb268f0f86a1c2b90853cb3faf4fc378974e7c17f76,7b6545b71671e9b1cdbb3e8f1f39d98a09c15c1547791b5eb984bee429ac7e4c,4,0.48753923177719116,-0.17519840983696333,0.483915483254799,
B0,train,35190,50780,correct,0,correct/35190-0.png,0967ffcb4a3240fe3960336dc7e20dad4e7df316f6921a00a335c9a94770cd80,af8e89553ecca28153a718e9873c66236d4964e90116ec65807e8436d27a2c9a,4,0.5380263924598694,0.037618735085504486,0.17091822294109607,
B0,train,35190,50780,correct,1,correct/35190-1.png,15dadcacaf75ca53c80c560e13e3e22774c9cd9469f8b645c9fbcb72512e76e9,af8e89553ecca28153a718e9873c66236d4964e90116ec65807e8436d27a2c9a,4,0.8087909817695618,-0.04734116171255778,0.19651615646476828,
B0,train,35190,50780,wrong,0,wrong/35190-0.png,1214724822f953641cbc1cd13d503a5c015beeec58f66b09473efd9f83d26251,af8e89553ecca28153a718e9873c66236d4964e90116ec65807e8436d27a2c9a,4,0.4468136131763458,0.1670384896962258,0.20022193904582744,
B0,train,35190,50780,wrong,1,wrong/35190-1.png,0d4cef65faae20c3bb01291443ac71e53935c1f25c9fae902613bcd4cc1d00ef,af8e89553ecca28153a718e9873c66236d4964e90116ec65807e8436d27a2c9a,4,0.4419372081756592,0.015283330969378861,0.19246476206887494,
B0,train,50780,45620,correct,0,correct/50780-0.png,2d16f0e146135c19786c8faf8c9ea6b488483f0a616ba55cd68b1d1da8ff0f13,3800def8e5bed900fc332f8ffc34dbd027ba1e4cb2ec365891217aeeffe7820e,4,0.6882784962654114,0.49463164996250264,0.45843410846936355,
B0,train,50780,45620,correct,1,correct/50780-1.png,0f32deea2c7dfdc962770d5a9d9ad20f365cb4cf261004153262cedbf8364841,3800def8e5bed900fc332f8ffc34dbd027ba1e4cb2ec365891217aeeffe7820e,4,0.763266384601593,0.09072385338310626,0.4366094866681224,
B0,train,50780,45620,wrong,0,wrong/50780-0.png,284f8584ac05bdcb9e07c9a8b12ff4a22e4bdb5d49798789ac03c3184352bfc7,3800def8e5bed900fc332f8ffc34dbd027ba1e4cb2ec365891217aeeffe7820e,4,0.49237534403800964,0.06588397506671131,0.3399680354357494,
