/data1/matengyu/geyugong/neuroadapter-subject1-research/envs/neuroadapter/lib/python3.11/site-packages/torch/distributed/c10d_logger.py:83: UserWarning: barrier(): using the device under current context. You can specify `device_id` in `init_process_group` to mute this warning.
  return func(*args, **kwargs)
H local_update=4790 loss=0.117086 elapsed=2955.6s
H local_update=4800 loss=0.109227 elapsed=2961.7s
H local_update=4810 loss=0.155451 elapsed=2967.8s
H local_update=4820 loss=0.084800 elapsed=2973.8s
H local_update=4830 loss=0.102551 elapsed=2979.9s
H local_update=4840 loss=0.099168 elapsed=2986.1s
H local_update=4850 loss=0.123087 elapsed=2992.1s
H local_update=4860 loss=0.129541 elapsed=2998.2s
H local_update=4870 loss=0.124051 elapsed=3004.4s
H local_update=4880 loss=0.108066 elapsed=3010.4s
H local_update=4890 loss=0.096673 elapsed=3016.5s
H local_update=4900 loss=0.077635 elapsed=3022.6s
H local_update=4910 loss=0.113311 elapsed=3028.7s
H local_update=4920 loss=0.140470 elapsed=3034.8s
H local_update=4930 loss=0.068396 elapsed=3040.8s
H local_update=4940 loss=0.089507 elapsed=3046.9s
H local_update=4950 loss=0.106653 elapsed=3053.0s
H local_update=4960 loss=0.095439 elapsed=3059.2s
H local_update=4970 loss=0.096207 elapsed=3065.4s
H local_update=4980 loss=0.108207 elapsed=3071.4s
H local_update=4990 loss=0.111833 elapsed=3077.4s
